state,district,date,lf,lf_employed,lf_unemployed,lf_outside,p_rate,u_rate,ep_ratio
Johor,Batu Pahat,2019-01-01,213.6,209.8,3.7,90.4,70.3,1.7,69.03586706153341
Johor,Batu Pahat,2020-01-01,219.1,214.4,4.7,92.2,70.4,2.1,68.85035324341683
Johor,Batu Pahat,2021-01-01,216.0,211.0,5.0,97.1,69.0,2.3,67.3906100287448
Johor,Batu Pahat,2022-01-01,220.8,216.8,4.0,94.6,70.0,1.8,68.73811033608118
Johor,Johor Bahru,2019-01-01,792.4,767.8,24.6,293.7,73.0,3.1,70.69330632538441
Johor,Johor Bahru,2020-01-01,803.8,771.3,32.5,297.1,73.0,4.0,70.06085929693886
Johor,Johor Bahru,2021-01-01,805.7,771.6,34.1,298.3,73.0,4.2,69.87864517297591
Johor,Johor Bahru,2022-01-01,829.5,799.0,30.5,292.6,73.9,3.7,71.20577488637377
Johor,Kluang,2019-01-01,166.1,160.5,5.6,66.9,71.3,3.4,68.88412017167383
Johor,Kluang,2020-01-01,167.9,160.9,7.1,67.4,71.4,4.2,68.38079048023799
Johor,Kluang,2021-01-01,168.0,160.3,7.7,67.5,71.3,4.6,68.0390492359932
Johor,Kluang,2022-01-01,169.6,162.8,6.8,65.6,72.1,4.0,69.18827029324267
Johor,Kota Tinggi,2019-01-01,100.7,98.0,2.8,43.8,69.7,2.7,67.82006920415225
Johor,Kota Tinggi,2020-01-01,103.4,99.9,3.5,44.7,69.8,3.4,67.45442268737341
Johor,Kota Tinggi,2021-01-01,104.1,99.9,4.2,44.7,70.0,4.0,67.13709677419355
Johor,Kota Tinggi,2022-01-01,107.8,104.0,3.8,43.9,71.1,3.5,68.55636123928808
Johor,Kulai,2019-01-01,131.7,128.1,3.6,66.7,66.4,2.7,64.53400503778337
Johor,Kulai,2020-01-01,133.6,129.1,4.5,66.8,66.7,3.4,64.42115768463074
Johor,Kulai,2021-01-01,130.9,126.0,4.9,69.8,65.2,3.7,62.78026905829597
Johor,Kulai,2022-01-01,135.0,130.6,4.4,69.4,66.0,3.3,63.89432485322896
Johor,Mersing,2019-01-01,33.2,32.4,0.8,21.8,60.4,2.4,59.01639344262295
Johor,Mersing,2020-01-01,33.9,32.8,1.1,21.9,60.8,3.3,58.78136200716846
Johor,Mersing,2021-01-01,33.2,32.0,1.2,22.9,59.2,3.6,57.04099821746881
Johor,Mersing,2022-01-01,34.4,33.3,1.0,22.9,60.0,3.0,58.216783216783206
Johor,Muar,2019-01-01,126.4,124.3,2.1,60.7,67.5,1.7,66.43506146445752
Johor,Muar,2020-01-01,129.9,126.9,2.9,62.0,67.7,2.3,66.16266944734099
Johor,Muar,2021-01-01,130.0,126.7,3.4,62.6,67.5,2.6,65.7498702646601
Johor,Muar,2022-01-01,131.7,128.6,3.1,60.5,68.5,2.3,66.90946930280958
Johor,Pontian,2019-01-01,77.2,74.8,2.4,39.5,66.2,3.1,64.09597257926306
Johor,Pontian,2020-01-01,79.3,76.1,3.1,40.2,66.4,4.0,63.735343383584585
Johor,Pontian,2021-01-01,77.9,74.3,3.6,42.0,65.0,4.7,61.96830692243536
Johor,Pontian,2022-01-01,78.9,76.1,2.9,41.0,65.8,3.6,63.469557964970804
Johor,Segamat,2019-01-01,100.1,97.6,2.6,42.1,70.4,2.6,68.63572433192687
Johor,Segamat,2020-01-01,103.3,99.7,3.7,43.2,70.5,3.6,68.05460750853243
Johor,Segamat,2021-01-01,102.5,98.4,4.1,44.8,69.6,4.0,66.80244399185335
Johor,Segamat,2022-01-01,105.1,101.3,3.8,44.4,70.3,3.6,67.75919732441471
Johor,Tangkak,2019-01-01,64.3,62.9,1.4,36.0,64.1,2.1,62.71186440677966
Johor,Tangkak,2020-01-01,66.3,64.5,1.8,36.7,64.4,2.7,62.62135922330098
Johor,Tangkak,2021-01-01,66.6,64.5,2.1,37.0,64.3,3.1,62.31884057971014
Johor,Tangkak,2022-01-01,68.7,67.0,1.7,37.0,65.0,2.5,63.386944181646165
Kedah,Baling,2019-01-01,70.5,68.9,1.6,33.3,67.9,2.3,66.44165863066539
Kedah,Baling,2020-01-01,70.4,67.7,2.7,34.8,66.9,3.8,64.35361216730038
Kedah,Baling,2021-01-01,72.6,70.3,2.3,35.6,67.1,3.1,64.97227356746765
Kedah,Baling,2022-01-01,74.1,72.5,1.6,35.3,67.8,2.2,66.27056672760511
Kedah,Bandar Baharu,2019-01-01,22.6,22.0,0.6,10.4,68.4,2.6,66.66666666666666
Kedah,Bandar Baharu,2020-01-01,23.7,22.6,1.1,10.3,69.7,4.6,66.47058823529413
Kedah,Bandar Baharu,2021-01-01,24.1,23.1,1.0,10.8,69.1,4.2,66.18911174785102
Kedah,Bandar Baharu,2022-01-01,24.7,23.9,0.8,10.6,70.0,3.1,67.70538243626062
Kedah,Kota Setar,2019-01-01,171.4,165.3,6.1,106.9,61.6,3.5,59.39633489040603
Kedah,Kota Setar,2020-01-01,173.5,164.7,8.8,108.0,61.6,5.1,58.50799289520426
Kedah,Kota Setar,2021-01-01,176.3,168.0,8.3,112.3,61.1,4.7,58.19189470038102
Kedah,Kota Setar,2022-01-01,179.8,173.1,6.7,111.6,61.7,3.8,59.402882635552515
