Institution_Type,Unemployed_Pct_2020,Unemployed_Pct_2021,Unemployed_Pct_2022,Unemployed_Pct_2023,Unemployed_Pct_2024,Total_N_2020,Total_N_2021,Total_N_2022,Total_N_2023,Total_N_2024
Public Universities (UA),13.3,11.8,7.2,7.0,5.1,104286,123362,133940,132676,104846
Private HEIs (IPTS),20.6,19.7,14.5,17.0,12.8,83323,93238,96095,101633,72192
Polytechnics,8.6,6.3,3.8,2.9,1.2,25901,24640,24687,28407,16449
Community Colleges,5.8,5.2,3.2,2.0,1.2,6471,8470,7625,6121,4639
Vocational Colleges,18.4,18.5,15.1,18.6,13.7,11675,9607,9494,6614,8184
PSTI Ministry of Human Resources,15.2,16.9,14.0,11.8,8.3,5781,4970,4822,6943,5922
PSTI Ministry of Youth & Sports,14.7,18.5,9.0,10.0,7.7,3070,2473,2514,3861,3213
PSTI Ministry of Agriculture,36.3,33.7,30.5,28.6,33.8,830,1150,843,958,547
PSTI Ministry of Tourism Arts & Culture,32.8,55.0,36.1,38.5,22.2,61,40,72,65,54
PSTI Ministry of Rural Development,16.4,16.6,6.1,2.3,1.6,17414,13862,11953,14712,14308
PSTI Ministry of Works,32.0,27.0,26.4,21.2,22.2,125,538,564,146,845
Others HEIs,13.2,14.2,23.7,22.4,16.8,1764,3949,3353,2330,642
NATIONAL TOTAL,15.6,14.5,9.8,10.2,7.5,260701,286299,295962,304466,231841
