series,sector,date,gdp,hours,employment,output_hour,output_employment
abs,p0,2015-01-01,282256.0,8144.0,13947.0,34.7,20237.8
abs,p1,2015-01-01,21692.0,953.0,1857.0,22.8,11681.2
abs,p2,2015-01-01,26879.0,47.0,78.0,571.9,344602.6
abs,p3,2015-01-01,62333.0,1436.0,2382.0,43.4,26168.3
abs,p3.1,2015-01-01,5319.0,216.0,391.0,24.6,13603.6
abs,p3.2,2015-01-01,1565.0,12.0,18.0,130.4,86944.4
abs,p3.3,2015-01-01,1124.0,107.0,222.0,10.5,5063.1
abs,p3.4,2015-01-01,4331.0,200.0,317.0,21.7,13662.5
abs,p3.5,2015-01-01,18731.0,241.0,379.0,77.7,49422.2
abs,p3.6,2015-01-01,7281.0,205.0,323.0,35.5,22541.8
abs,p3.7,2015-01-01,18350.0,331.0,531.0,55.4,34557.4
abs,p3.8,2015-01-01,5633.0,125.0,202.0,45.1,27886.1
abs,p4,2015-01-01,13728.0,884.0,1482.0,15.5,9263.2
abs,p5,2015-01-01,154469.0,4824.0,8148.0,32.0,18957.9
abs,p5.1,2015-01-01,7631.0,59.0,101.0,129.3,75554.5
abs,p5.2,2015-01-01,43343.0,1322.0,2164.0,32.8,20029.1
abs,p5.3,2015-01-01,8747.0,771.0,1311.0,11.3,6672.0
abs,p5.4,2015-01-01,10183.0,312.0,508.0,32.6,20045.3
abs,p5.5,2015-01-01,15049.0,122.0,208.0,123.4,72351.0
abs,p5.6,2015-01-01,19741.0,206.0,355.0,95.8,55608.5
abs,p5.7,2015-01-01,12510.0,594.0,968.0,21.1,12923.6
abs,p5.8,2015-01-01,37265.0,1437.0,2535.0,25.9,14700.2
abs,p0,2015-04-01,288975.0,8196.0,13944.0,35.3,20724.0
abs,p1,2015-04-01,24001.0,1006.0,1958.0,23.9,12257.9
abs,p2,2015-04-01,25729.0,45.0,73.0,571.8,352452.1
abs,p3,2015-04-01,65695.0,1445.0,2361.0,45.5,27825.1
abs,p3.1,2015-04-01,6668.0,217.0,378.0,30.7,17640.2
abs,p3.2,2015-04-01,2159.0,11.0,17.0,196.3,127000.0
abs,p3.3,2015-04-01,1348.0,111.0,221.0,12.1,6099.5
abs,p3.4,2015-04-01,4497.0,199.0,311.0,22.6,14459.8
abs,p3.5,2015-04-01,18880.0,240.0,374.0,78.7,50481.3
abs,p3.6,2015-04-01,8576.0,206.0,322.0,41.6,26633.5
abs,p3.7,2015-04-01,16519.0,334.0,531.0,49.5,31109.2
abs,p3.8,2015-04-01,7048.0,128.0,205.0,55.1,34380.5
abs,p4,2015-04-01,12927.0,921.0,1515.0,14.0,8532.7
abs,p5,2015-04-01,156945.0,4779.0,8037.0,32.8,19527.8
abs,p5.1,2015-04-01,7984.0,57.0,97.0,140.1,82309.3
abs,p5.2,2015-04-01,43963.0,1264.0,2053.0,34.8,21414.0
abs,p5.3,2015-04-01,8812.0,760.0,1273.0,11.6,6922.2
abs,p5.4,2015-04-01,10250.0,301.0,487.0,34.1,21047.2
abs,p5.5,2015-04-01,15543.0,122.0,204.0,127.4,76191.2
abs,p5.6,2015-04-01,19286.0,198.0,345.0,97.4,55901.4
abs,p5.7,2015-04-01,12790.0,614.0,1001.0,20.8,12777.2
abs,p5.8,2015-04-01,38316.0,1464.0,2576.0,26.2,14874.2
abs,p0,2015-07-01,297965.0,8097.0,13950.0,36.8,21359.5
abs,p1,2015-07-01,27685.0,980.0,1931.0,28.2,14337.1
abs,p2,2015-07-01,24260.0,45.0,80.0,539.1,303250.0
abs,p3,2015-07-01,65851.0,1428.0,2369.0,46.1,27797.0
abs,p3.1,2015-07-01,6590.0,211.0,378.0,31.2,17433.9
abs,p3.2,2015-07-01,2029.0,10.0,18.0,202.9,112722.2
abs,p3.3,2015-07-01,1235.0,111.0,223.0,11.1,5538.1
abs,p3.4,2015-07-01,4434.0,201.0,311.0,22.1,14257.2
abs,p3.5,2015-07-01,20073.0,234.0,376.0,85.8,53385.6
abs,p3.6,2015-07-01,8048.0,202.0,329.0,39.8,24462.0
