date,lf,lf_employed,lf_unemployed,p_rate,u_rate
2010-01-01,12368.0,11959.8,408.2,64.0,3.3
2010-02-01,12120.1,11712.8,402.2,62.9,3.3
2010-03-01,12242.4,11817.2,416.7,63.4,3.4
2010-04-01,12382.1,12025.3,377.6,63.8,3.0
2010-05-01,12197.5,11790.7,405.7,63.0,3.3
2010-06-01,12338.5,11898.3,423.8,63.6,3.4
2010-07-01,12419.9,11996.4,422.5,64.0,3.4
2010-08-01,12353.8,11945.3,400.9,63.4,3.2
2010-09-01,12330.7,11957.7,386.3,63.3,3.1
2010-10-01,12772.3,12407.0,370.8,65.4,2.9
2010-11-01,12392.6,11966.9,418.2,63.3,3.4
2010-12-01,12794.9,12391.6,406.9,65.4,3.2
2011-01-01,12782.4,12383.1,399.6,64.8,3.1
2011-02-01,12674.9,12312.5,357.2,64.3,2.8
2011-03-01,12778.0,12409.9,363.4,64.6,2.8
2011-04-01,12792.6,12426.6,388.4,64.5,3.0
2011-05-01,12757.1,12352.4,403.0,64.3,3.2
2011-06-01,12805.0,12403.0,390.8,64.5,3.1
2011-07-01,12858.3,12466.3,389.1,64.7,3.0
2011-08-01,12930.6,12501.4,415.0,64.9,3.2
2011-09-01,12906.1,12496.0,424.3,64.8,3.3
2011-10-01,13013.1,12616.9,409.0,65.1,3.1
2011-11-01,12829.7,12410.9,412.6,64.3,3.2
2011-12-01,13053.8,12651.3,405.4,64.9,3.1
2012-01-01,13164.0,12781.1,383.3,65.5,2.9
2012-02-01,13103.1,12699.1,394.1,65.3,3.0
2012-03-01,13221.1,12822.6,397.2,65.5,3.0
2012-04-01,13226.3,12841.5,403.0,65.6,3.0
2012-05-01,13293.7,12903.8,389.0,65.9,2.9
2012-06-01,13256.6,12841.1,407.8,65.5,3.1
2012-07-01,13413.8,12988.9,422.4,66.1,3.1
2012-08-01,13348.9,12972.1,359.1,65.6,2.7
2012-09-01,13416.1,13002.8,425.0,65.8,3.2
2012-10-01,13400.9,12964.4,448.1,65.7,3.3
2012-11-01,13520.3,13119.3,398.4,65.9,2.9
2012-12-01,13499.3,13079.5,423.0,65.5,3.1
2013-01-01,13550.1,13113.1,432.8,65.6,3.2
2013-02-01,13641.8,13242.5,389.3,65.9,2.9
2013-03-01,13625.3,13188.7,439.5,65.5,3.2
2013-04-01,13763.5,13353.9,422.7,66.3,3.1
2013-05-01,13867.0,13414.9,451.7,66.7,3.3
2013-06-01,14232.8,13838.3,392.6,68.2,2.8
2013-07-01,14119.5,13683.2,434.0,67.7,3.1
2013-08-01,14200.8,13730.9,451.5,68.0,3.2
2013-09-01,14295.2,13852.9,450.0,68.5,3.1
2013-10-01,14214.8,13743.2,481.1,67.9,3.4
2013-11-01,14279.3,13773.3,510.8,68.2,3.6
2013-12-01,14248.6,13816.1,437.2,67.8,3.1
2014-01-01,14243.3,13795.5,444.1,67.8,3.1
2014-02-01,14275.9,13820.1,445.8,67.9,3.1
2014-03-01,14160.8,13738.1,427.2,67.0,3.0
2014-04-01,14173.1,13757.5,422.4,67.4,3.0
2014-05-01,14470.8,14060.1,411.3,68.6,2.8
2014-06-01,14376.6,13970.9,404.0,67.8,2.8
2014-07-01,14289.4,13888.2,399.6,67.5,2.8
2014-08-01,14268.0,13861.9,391.0,67.3,2.7
2014-09-01,14415.2,14036.1,381.9,68.0,2.6
2014-10-01,14436.8,14054.6,385.1,67.7,2.7
2014-11-01,14436.2,14046.6,393.9,67.8,2.7
2014-12-01,14500.1,14055.7,449.4,68.0,3.1
2015-01-01,14458.4,14023.9,431.1,67.6,3.0
2015-02-01,14561.5,14109.1,444.8,68.1,3.1
2015-03-01,14574.3,14143.1,436.8,68.0,3.0
2015-04-01,14558.8,14125.3,440.1,67.9,3.0
2015-05-01,14605.0,14151.8,453.1,68.0,3.1
2015-06-01,14600.5,14133.6,464.2,67.9,3.2
2015-07-01,14563.4,14088.5,473.4,67.7,3.3
2015-08-01,14678.0,14190.0,476.5,68.1,3.2
2015-09-01,14619.1,14128.4,492.4,67.8,3.4
2015-10-01,14688.0,14202.2,487.6,68.1,3.3
2015-11-01,14701.0,14219.9,488.0,68.0,3.3
2015-12-01,14685.2,14189.8,501.7,67.8,3.4
2016-01-01,14677.1,14188.7,482.7,67.7,3.3
2016-02-01,14697.5,14202.8,488.1,67.6,3.3
2016-03-01,14688.0,14187.5,505.4,67.8,3.4
2016-04-01,14677.5,14166.4,517.0,67.7,3.5
2016-05-01,14727.8,14217.7,509.8,67.8,3.5
2016-06-01,14703.3,14195.4,505.6,67.6,3.4
2016-07-01,14735.0,14217.1,516.1,67.8,3.5
2016-08-01,14806.5,14279.5,520.4,67.7,3.5
2016-09-01,14749.0,14234.6,515.4,67.5,3.5
2016-10-01,14775.6,14257.2,519.0,67.7,3.5
2016-11-01,14836.2,14316.0,525.5,67.7,3.5
2016-12-01,14786.4,14283.4,509.6,67.6,3.4
2017-01-01,14908.5,14405.2,497.2,67.7,3.3
2017-02-01,14906.1,14405.5,496.2,67.8,3.3
2017-03-01,14908.1,14405.5,507.3,67.6,3.4
2017-04-01,14949.3,14438.2,515.6,67.8,3.4
2017-05-01,14979.3,14465.3,513.5,67.9,3.4
2017-06-01,15011.4,14496.7,512.6,67.7,3.4
2017-07-01,15032.2,14512.9,517.7,67.8,3.4
2017-08-01,15009.4,14482.6,521.8,67.7,3.5
2017-09-01,15054.6,14538.1,516.9,67.9,3.4
2017-10-01,15095.9,14580.1,517.2,68.0,3.4
2017-11-01,15087.6,14571.1,518.9,68.0,3.4
2017-12-01,15145.0,14649.4,502.7,68.1,3.3
2018-01-01,15216.2,14709.5,500.7,68.2,3.3
2018-02-01,15216.8,14724.2,490.2,68.2,3.2
2018-03-01,15215.2,14714.5,505.4,68.1,3.3
2018-04-01,15324.0,14815.0,512.8,68.4,3.3
2018-05-01,15372.4,14860.2,511.3,68.5,3.3
2018-06-01,15362.9,14839.6,521.4,68.5,3.4
2018-07-01,15422.1,14904.0,516.7,68.7,3.4
2018-08-01,15397.5,14863.4,529.7,68.3,3.4
2018-09-01,15443.4,14924.7,518.6,68.5,3.4
2018-10-01,15452.9,14932.8,522.0,68.5,3.4
2018-11-01,15458.7,14930.0,529.8,68.4,3.4
2018-12-01,15499.9,14996.8,510.7,68.4,3.3
2019-01-01,15503.1,15013.4,502.1,68.5,3.2
2019-02-01,15525.9,15016.0,506.5,68.5,3.3
2019-03-01,15556.1,15025.9,520.0,68.5,3.3
2019-04-01,15607.4,15092.9,527.6,68.5,3.4
2019-05-01,15632.6,15111.9,526.2,68.5,3.4
2019-06-01,15637.3,15116.0,524.7,68.6,3.4
2019-07-01,15705.0,15188.9,522.6,68.5,3.3
2019-08-01,15708.8,15159.7,519.6,68.7,3.3
2019-09-01,15754.5,15238.9,521.9,68.8,3.3
2019-10-01,15786.7,15275.4,517.2,68.8,3.3
2019-11-01,15855.3,15323.0,522.6,69.0,3.3
2019-12-01,15817.1,15303.4,516.6,68.9,3.3
2020-01-01,15825.8,15299.4,516.9,68.8,3.3
2020-02-01,15849.8,15334.8,528.8,68.7,3.3
2020-03-01,15864.3,15255.1,607.2,68.8,3.8
2020-04-01,15713.9,14943.7,765.7,68.2,4.9
2020-05-01,15715.9,14895.9,815.0,68.1,5.2
2020-06-01,15788.6,15008.4,754.8,68.2,4.8
2020-07-01,15818.8,15086.4,729.7,68.1,4.6
2020-08-01,15889.1,15167.8,733.5,68.3,4.6
2020-09-01,15920.9,15179.7,740.5,68.4,4.7
2020-10-01,15951.2,15189.0,764.1,68.4,4.8
2020-11-01,15952.4,15183.8,784.1,68.4,4.9
2020-12-01,15988.9,15194.2,795.6,68.4,5.0
2021-01-01,16016.3,15219.2,790.4,68.4,4.9
2021-02-01,16028.0,15261.0,782.9,68.5,4.9
2021-03-01,16104.2,15352.2,749.1,68.7,4.7
2021-04-01,16096.5,15362.6,730.2,68.6,4.5
2021-05-01,16100.8,15379.1,718.3,68.6,4.5
2021-06-01,16091.8,15316.0,750.4,68.4,4.7
2021-07-01,16073.2,15307.9,762.1,68.3,4.7
2021-08-01,16119.3,15391.1,740.6,68.3,4.6
2021-09-01,16182.7,15449.3,732.6,68.6,4.5
2021-10-01,16255.3,15536.1,720.0,68.8,4.4
2021-11-01,16296.4,15597.7,712.3,68.9,4.4
2021-12-01,16336.9,15626.9,707.8,68.9,4.3
2022-01-01,16350.3,15651.6,688.3,68.9,4.2
2022-02-01,16392.6,15720.2,675.4,69.1,4.1
2022-03-01,16437.2,15768.1,667.8,69.2,4.1
2022-04-01,16507.1,15866.5,640.6,69.5,3.9
