state,year,Jumlah Total,Lelaki Male,Perempuan Female
Johor,2020,450600.0,233000.0,217600.0
Johor,2021,473400.0,241500.0,231900.0
Johor,2022,498600.0,249800.0,248800.0
Johor,2023,521700.00000000006,262800.0,259000.0
Johor,2024,554900.0,276600.0,278200.0
Kedah,2020,255000.0,110200.0,144800.0
Kedah,2021,276500.0,116800.0,159700.0
Kedah,2022,285100.0,121700.0,163400.0
Kedah,2023,299400.0,125600.0,173800.0
Kedah,2024,303700.0,126000.0,177700.0
Kelantan,2020,181700.0,75000.0,106800.0
Kelantan,2021,196000.0,79700.0,116300.0
Kelantan,2022,206000.0,84600.0,121400.0
Kelantan,2023,220300.0,85700.0,134500.0
Kelantan,2024,225600.0,87600.0,138100.0
Melaka,2020,169600.0,78200.0,91400.0
Melaka,2021,179400.0,81900.0,97500.0
Melaka,2022,188100.0,85900.0,102100.0
Melaka,2023,194600.0,89000.0,105600.0
Melaka,2024,205100.0,93200.0,112000.0
Negeri Sembilan,2020,198200.0,88400.0,109800.0
Negeri Sembilan,2021,212800.0,93100.0,119700.0
Negeri Sembilan,2022,219100.0,97000.0,122100.0
Negeri Sembilan,2023,229500.0,100800.0,128699.99999999999
Negeri Sembilan,2024,241800.0,106700.0,135100.0
Pahang,2020,186800.0,80200.0,106700.0
Pahang,2021,199300.0,84900.0,114400.0
Pahang,2022,209400.0,89400.0,119900.0
Pahang,2023,219000.0,92000.0,127000.0
Pahang,2024,221900.0,92600.0,129300.00000000001
Perak,2020,301200.0,134800.0,166400.0
Perak,2021,316400.0,140500.0,175900.0
Perak,2022,332100.0,145900.0,186200.0
Perak,2023,348000.0,152700.0,195400.0
Perak,2024,361600.0,157100.0,204400.0
Perlis,2020,40300.0,15600.0,24700.0
Perlis,2021,42900.0,16300.0,26600.0
Perlis,2022,45300.0,17300.0,28000.0
Perlis,2023,47300.0,18200.0,29100.0
Perlis,2024,48700.0,17700.0,31000.0
Pulau Pinang,2020,335300.0,162300.0,173000.0
Pulau Pinang,2021,355500.0,170100.0,185500.0
Pulau Pinang,2022,364600.0,172800.0,191800.0
Pulau Pinang,2023,381900.0,185200.0,196700.0
Pulau Pinang,2024,405000.0,194600.0,210400.0
Sabah,2020,303800.0,139200.0,164600.0
Sabah,2021,317900.0,145300.0,172600.0
Sabah,2022,342100.0,156100.0,186000.0
Sabah,2023,346100.0,156100.0,190100.0
Sabah,2024,361800.0,166000.0,195800.0
Sarawak,2020,249900.0,109800.0,140000.0
Sarawak,2021,257000.0,113300.0,143700.0
Sarawak,2022,275900.0,120400.0,155500.0
Sarawak,2023,281600.0,124000.0,157600.0
Sarawak,2024,301300.0,130300.00000000001,170900.0
Selangor,2020,1588700.0,778800.0,809800.0
Selangor,2021,1667400.0,814300.0,853100.0
Selangor,2022,1742800.0,851700.0,891100.0
Selangor,2023,1817000.0,879400.0,937600.0
Selangor,2024,1825200.0,871800.0,953400.0
Terengganu,2020,141800.0,62000.0,79800.0
Terengganu,2021,152200.0,65000.0,87200.0
Terengganu,2022,158600.0,69100.0,89500.0
Terengganu,2023,167700.0,71500.0,96200.0
Terengganu,2024,172400.0,72900.0,99500.0
WP Kuala Lumpur,2020,538100.0,272400.0,265700.0
WP Kuala Lumpur,2021,553800.0,277200.0,276600.0
WP Kuala Lumpur,2022,591700.0,291500.0,300100.0
WP Kuala Lumpur,2023,615600.0,307300.0,308300.0
WP Kuala Lumpur,2024,697400.0,361900.0,335500.0
WP Labuan,2020,11000.0,5500.0,5500.0
WP Labuan,2021,11600.0,5600.0,6100.0
WP Labuan,2022,12600.0,6100.0,6500.0
WP Labuan,2023,13000.0,6400.0,6600.0
WP Labuan,2024,13700.0,6300.0,7400.0
WP Putrajaya,2020,35200.0,14600.0,20600.0
WP Putrajaya,2021,36400.0,14700.0,21600.0
WP Putrajaya,2022,40200.0,17000.0,23200.0
WP Putrajaya,2023,40300.0,16200.0,24100.0
WP Putrajaya,2024,41300.0,16700.0,24600.0
