state,year,metric,value
Johor,2020,Jumlah Total,450600.0
Johor,2021,Jumlah Total,473400.0
Johor,2022,Jumlah Total,498600.0
Johor,2023,Jumlah Total,521700.00000000006
Johor,2024,Jumlah Total,554900.0
Johor,2020,Tenaga Buruh 404.0 427.1 447.3 469.6 496.9 Labour Force Bekerja 386.0 409.8 430.0 454.4 480.7 Employed Penganggur 18.0 17.4 17.4 15.2 16.2 Unemployed Luar Tenaga Buruh 46.6 46.2 51.3 52.1 57.9 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 89.7 90.2 89.7 90.0 89.6 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 4.5 4.1 3.9 3.2 3.3 Graduates Unemployment Rate,
Johor,2021,Tenaga Buruh 404.0 427.1 447.3 469.6 496.9 Labour Force Bekerja 386.0 409.8 430.0 454.4 480.7 Employed Penganggur 18.0 17.4 17.4 15.2 16.2 Unemployed Luar Tenaga Buruh 46.6 46.2 51.3 52.1 57.9 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 89.7 90.2 89.7 90.0 89.6 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 4.5 4.1 3.9 3.2 3.3 Graduates Unemployment Rate,
Johor,2022,Tenaga Buruh 404.0 427.1 447.3 469.6 496.9 Labour Force Bekerja 386.0 409.8 430.0 454.4 480.7 Employed Penganggur 18.0 17.4 17.4 15.2 16.2 Unemployed Luar Tenaga Buruh 46.6 46.2 51.3 52.1 57.9 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 89.7 90.2 89.7 90.0 89.6 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 4.5 4.1 3.9 3.2 3.3 Graduates Unemployment Rate,
Johor,2023,Tenaga Buruh 404.0 427.1 447.3 469.6 496.9 Labour Force Bekerja 386.0 409.8 430.0 454.4 480.7 Employed Penganggur 18.0 17.4 17.4 15.2 16.2 Unemployed Luar Tenaga Buruh 46.6 46.2 51.3 52.1 57.9 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 89.7 90.2 89.7 90.0 89.6 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 4.5 4.1 3.9 3.2 3.3 Graduates Unemployment Rate,
Johor,2024,Tenaga Buruh 404.0 427.1 447.3 469.6 496.9 Labour Force Bekerja 386.0 409.8 430.0 454.4 480.7 Employed Penganggur 18.0 17.4 17.4 15.2 16.2 Unemployed Luar Tenaga Buruh 46.6 46.2 51.3 52.1 57.9 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 89.7 90.2 89.7 90.0 89.6 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 4.5 4.1 3.9 3.2 3.3 Graduates Unemployment Rate,
Johor,2020,Lelaki Male,233000.0
Johor,2021,Lelaki Male,241500.0
Johor,2022,Lelaki Male,249800.0
Johor,2023,Lelaki Male,262800.0
Johor,2024,Lelaki Male,276600.0
Johor,2020,Tenaga Buruh 223.7 230.3 240.5 252.2 265.2 Labour Force Bekerja 213.0 220.0 230.0 243.4 255.8 Employed Penganggur 10.8 10.2 10.5 8.8 9.3 Unemployed Luar Tenaga Buruh 9.2 11.2 9.3 10.6 11.4 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 96.0 95.4 96.3 96.0 95.9 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 4.8 4.4 4.4 3.5 3.5 Graduates Unemployment Rate,
Johor,2021,Tenaga Buruh 223.7 230.3 240.5 252.2 265.2 Labour Force Bekerja 213.0 220.0 230.0 243.4 255.8 Employed Penganggur 10.8 10.2 10.5 8.8 9.3 Unemployed Luar Tenaga Buruh 9.2 11.2 9.3 10.6 11.4 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 96.0 95.4 96.3 96.0 95.9 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 4.8 4.4 4.4 3.5 3.5 Graduates Unemployment Rate,
Johor,2022,Tenaga Buruh 223.7 230.3 240.5 252.2 265.2 Labour Force Bekerja 213.0 220.0 230.0 243.4 255.8 Employed Penganggur 10.8 10.2 10.5 8.8 9.3 Unemployed Luar Tenaga Buruh 9.2 11.2 9.3 10.6 11.4 Outside Labour Force Kadar Penyertaan Tenaga Buruh Siswazah (%) 96.0 95.4 96.3 96.0 95.9 Graduates Labour Force Participation Rate Kadar Pengangguran Siswazah (%) 4.8 4.4 4.4 3.5 3.5 Graduates Unemployment Rate,
