state,year,total_graduates_produced,male_graduates,female_graduates,employed_count,employed_pct,further_study_count,further_study_pct,upgrading_skills_count,upgrading_skills_pct,waiting_placement_count,waiting_placement_pct,unemployed_count,unemployed_pct,total_graduates,total_pct
Johor,2020,450600.0,233000.0,217600.0,,,,,,,,,,,,
Johor,2021,473400.0,241500.0,231900.0,,,,,,,,,,,,
Johor,2022,498600.0,249800.0,248800.0,,,,,,,,,,,,
Johor,2023,521700.00000000006,262800.0,259000.0,23110.0,70.2,4930.0,15.0,674.0,2.0,1093.0,3.3,3100.0,9.4,32907.0,100.0
Johor,2024,554900.0,276600.0,278200.0,23904.0,93.9,,,,,,,1550.0,6.1,25454.0,100.0
Kedah,2020,255000.0,110200.0,144800.0,,,,,,,,,,,,
Kedah,2021,276500.0,116800.0,159700.0,,,,,,,,,,,,
Kedah,2022,285100.0,121700.0,163400.0,,,,,,,,,,,,
Kedah,2023,299400.0,125600.0,173800.0,14649.0,66.7,3775.0,17.2,507.0,2.3,776.0,3.5,2270.0,10.3,21977.0,100.0
Kedah,2024,303700.0,126000.0,177700.0,14546.0,91.2,,,,,,,1401.0,8.8,15947.0,100.0
Kelantan,2020,181700.0,75000.0,106800.0,,,,,,,,,,,,
Kelantan,2021,196000.0,79700.0,116300.0,,,,,,,,,,,,
Kelantan,2022,206000.0,84600.0,121400.0,,,,,,,,,,,,
Kelantan,2023,220300.0,85700.0,134500.0,10083.0,61.8,3043.0,18.6,376.0,2.3,691.0,4.2,2125.0,13.0,16318.0,100.0
Kelantan,2024,225600.0,87600.0,138100.0,11081.0,89.1,,,,,,,1351.0,10.9,12432.0,100.0
Melaka,2020,169600.0,78200.0,91400.0,,,,,,,,,,,,
Melaka,2021,179400.0,81900.0,97500.0,,,,,,,,,,,,
Melaka,2022,188100.0,85900.0,102100.0,,,,,,,,,,,,
Melaka,2023,194600.0,89000.0,105600.0,6739.0,67.8,1697.0,17.1,161.0,1.6,340.0,3.4,1003.0,10.1,9940.0,100.0
Melaka,2024,205100.0,93200.0,112000.0,6594.0,93.3,,,,,,,471.0,6.7,7065.0,100.0
Negeri Sembilan,2020,198200.0,88400.0,109800.0,,,,,,,,,,,,
Negeri Sembilan,2021,212800.0,93100.0,119700.0,,,,,,,,,,,,
Negeri Sembilan,2022,219100.0,97000.0,122100.0,,,,,,,,,,,,
Negeri Sembilan,2023,229500.0,100800.0,128700.0,8873.0,66.3,2505.0,18.7,235.0,1.8,411.0,3.1,1356.0,10.1,13380.0,100.0
Negeri Sembilan,2024,241800.0,106700.0,135100.0,8829.0,93.0,,,,,,,662.0,7.0,9491.0,100.0
Pahang,2020,186800.0,80200.0,106700.0,,,,,,,,,,,,
Pahang,2021,199300.0,84900.0,114400.0,,,,,,,,,,,,
Pahang,2022,209400.0,89400.0,119900.0,,,,,,,,,,,,
Pahang,2023,219000.0,92000.0,127000.0,9073.0,66.5,2240.0,16.4,284.0,2.1,498.0,3.6,1554.0,11.4,13649.0,100.0
Pahang,2024,221900.0,92600.0,129300.0,9592.0,92.1,,,,,,,818.0,7.9,10410.0,100.0
Perak,2020,301200.0,134800.0,166400.0,,,,,,,,,,,,
Perak,2021,316400.0,140500.0,175900.0,,,,,,,,,,,,
Perak,2022,332100.0,145900.0,186200.0,,,,,,,,,,,,
Perak,2023,348000.0,152700.0,195400.0,14743.0,66.8,3526.0,16.0,488.0,2.2,863.0,3.9,2463.0,11.2,22083.0,100.0
Perak,2024,361600.0,157100.0,204400.0,15158.0,91.7,,,,,,,1365.0,8.3,16523.0,100.0
Perlis,2020,40300.0,15600.0,24700.0,,,,,,,,,,,,
Perlis,2021,42900.0,16300.0,26600.0,,,,,,,,,,,,
Perlis,2022,45300.0,17300.0,28000.0,,,,,,,,,,,,
Perlis,2023,47300.0,18200.0,29100.0,1720.0,61.8,617.0,22.2,68.0,2.4,93.0,3.3,284.0,10.2,2782.0,100.0
Perlis,2024,48700.0,17700.0,31000.0,1704.0,90.5,,,,,,,178.0,9.5,1882.0,100.0
Pulau Pinang,2020,335300.0,162300.0,173000.0,,,,,,,,,,,,
Pulau Pinang,2021,355500.0,170100.0,185500.0,,,,,,,,,,,,
Pulau Pinang,2022,364600.0,172800.0,191800.0,,,,,,,,,,,,
Pulau Pinang,2023,381900.0,185200.0,196700.0,13041.0,71.3,2873.0,15.7,346.0,1.9,550.0,3.0,1482.0,8.1,18292.0,100.0
Pulau Pinang,2024,405000.0,194600.0,210400.0,12541.0,93.5,,,,,,,870.0,6.5,13411.0,100.0
Sabah,2020,303800.0,139200.0,164600.0,,,,,,,,,,,,
Sabah,2021,317900.0,145300.0,172600.0,,,,,,,,,,,,
Sabah,2022,342100.0,156100.0,186000.0,,,,,,,,,,,,
Sabah,2023,346100.0,156100.0,190100.0,11651.0,66.2,2115.0,12.0,422.0,2.4,990.0,5.6,2423.0,13.8,17601.0,100.0
Sabah,2024,361800.0,166000.0,195800.0,11885.0,89.0,,,,,,,1466.0,11.0,13351.0,100.0
Sarawak,2020,249900.0,109800.0,140000.0,,,,,,,,,,,,
Sarawak,2021,257000.0,113300.0,143700.0,,,,,,,,,,,,
Sarawak,2022,275900.0,120400.0,155500.0,,,,,,,,,,,,
Sarawak,2023,281600.0,124000.0,157600.0,12252.0,66.4,2749.0,14.9,441.0,2.4,804.0,4.4,2214.0,12.0,18460.0,100.0
Sarawak,2024,301300.0,130300.0,170900.0,13340.0,90.2,,,,,,,1446.0,9.8,14786.0,100.0
Selangor,2020,1588700.0,778800.0,809800.0,,,,,,,,,,,,
Selangor,2021,1667400.0,814300.0,853100.0,,,,,,,,,,,,
Selangor,2022,1742800.0,851700.0,891100.0,,,,,,,,,,,,
Selangor,2023,1817000.0,879400.0,937600.0,52260.0,68.8,13817.0,18.2,1149.0,1.5,1854.0,2.4,6864.0,9.0,75944.0,100.0
Selangor,2024,1825200.0,871800.0,953400.0,54912.0,94.0,,,,,,,3535.0,6.0,58447.0,100.0
Terengganu,2020,141800.0,62000.0,79800.0,,,,,,,,,,,,
Terengganu,2021,152200.0,65000.0,87200.0,,,,,,,,,,,,
Terengganu,2022,158600.0,69100.0,89500.0,,,,,,,,,,,,
Terengganu,2023,167700.0,71500.0,96200.0,8344.0,63.6,2430.0,18.5,312.0,2.4,425.0,3.2,1607.0,12.3,13118.0,100.0
Terengganu,2024,172400.0,72900.0,99500.0,9295.0,90.2,,,,,,,1011.0,9.8,10306.0,100.0
WP,2023,,,,17974.0,71.8,3802.0,15.2,368.0,1.5,714.0,2.9,2174.0,8.7,25032.0,100.0
WP,2023,,,,475.0,73.0,70.0,10.8,15.0,2.3,29.0,4.5,62.0,9.5,651.0,100.0
WP,2023,,,,1476.0,76.9,275.0,14.3,20.0,1.0,39.0,2.0,109.0,5.7,1919.0,100.0
WP,2024,,,,18628.0,93.9,,,,,,,1202.0,6.1,19830.0,100.0
