state,total_graduates_produced,employed_count,employed_pct,unemployed_count,unemployed_pct,total_graduates,employment_absorption_rate
Johor,554900.0,23904.0,93.9,1550.0,6.1,25454.0,4.31
Kedah,303700.0,14546.0,91.2,1401.0,8.8,15947.0,4.79
Kelantan,225600.0,11081.0,89.1,1351.0,10.9,12432.0,4.91
Melaka,205100.0,6594.0,93.3,471.0,6.7,7065.0,3.22
Negeri Sembilan,241800.0,8829.0,93.0,662.0,7.0,9491.0,3.65
Pahang,221900.0,9592.0,92.1,818.0,7.9,10410.0,4.32
Perak,361600.0,15158.0,91.7,1365.0,8.3,16523.0,4.19
Perlis,48700.0,1704.0,90.5,178.0,9.5,1882.0,3.5
Pulau Pinang,405000.0,12541.0,93.5,870.0,6.5,13411.0,3.1
Sabah,361800.0,11885.0,89.0,1466.0,11.0,13351.0,3.28
Sarawak,301300.0,13340.0,90.2,1446.0,9.8,14786.0,4.43
Selangor,1825200.0,54912.0,94.0,3535.0,6.0,58447.0,3.01
Terengganu,172400.0,9295.0,90.2,1011.0,9.8,10306.0,5.39
WP,,18628.0,93.9,1202.0,6.1,19830.0,
WP,,616.0,94.0,39.0,6.0,655.0,
WP,,1448.0,95.3,72.0,4.7,1520.0,
WP Kuala Lumpur,697400.0,,,,,,
WP Labuan,13700.0,,,,,,
WP Putrajaya,41300.0,,,,,,
