year,Bidang Pengajian Field of Studies,Status Pekerjaan / Employment Status,,,,,,,,,,Jumlah Total,
2023,,Bekerja Employed,,Melanjutkan Pengajian Further Study,,Meningkatkan Kemahiran Upgrading Skills,,Menunggu Penempatan Pekerjaan Waiting for Work Placement,,Belum Bekerja Not Working Yet,,,
2023,,Bil. No.,%,Bil. No.,%,Bil. No.,%,Bil. No.,%,Bil. No.,%,Bil. No.,%
2023,Program dan Kelayakan Generik Generic Programmes and Qualifications,55,80.9,3,4.4,3,4.4,3,4.4,4,5.9,68,100
2023,Pendidikan Education,"15,097",70.9,"1,523",7.2,341,1.6,"1,410",6.6,"2,913",13.7,"21,284",100
2023,Sastera dan Kemanusiaan Arts & Humanities,"17,127",63.5,"5,383",20.0,424,1.6,521,1.9,"3,516",13.0,"26,971",100
2023,"Sains sosial, Kewartawanan dan Maklumat Social Sciences, Journalism and Information","9,504",69.2,"1,725",12.6,353,2.6,435,3.2,"1,727",12.6,"13,744",100
2023,"Perniagaan, Pentadbiran dan Perundangan Business, Administration and Law","58,628",68.7,"14,061",16.5,"1,215",1.4,"1,972",2.3,"9,424",11.0,"85,300",100
2023,"Sains semulajadi, Matematik dan Statistik Natural Sciences, Mathematics & Statistics","8,050",59.3,"3,225",23.8,607,4.5,447,3.3,"1,236",9.1,"13,565",100
2023,Teknologi Maklumat dan Komunikasi Information and Communication Technologies,"14,467",64.7,"5,164",23.1,443,2.0,434,1.9,"1,866",8.3,"22,374",100
2023,"Kejuruteraan, Pembuatan dan Pembinaan Engineering, Manufacturing & Construction","55,631",70.6,"14,164",18.0,"1,888",2.4,"1,997",2.5,"5,138",6.5,"78,818",100
2023,"Pertanian, Perhutanan, Perikanan dan Veterinar Agriculture, Forestry, Fisheries & Veterinary","2,749",57.0,"1,066",22.1,253,5.2,170,3.5,588,12.2,"4,826",100
2023,Kesihatan dan Kebajikan Health & Welfare,"11,740",67.2,"1,187",6.8,166,0.9,"2,301",13.2,"2,088",11.9,"17,482",100
2023,Perkhidmatan Services,"13,752",68.6,"3,009",15.0,178,0.9,489,2.4,"2,606",13.0,"20,034",100
2023,Jumlah Total,"206,800",67.9,"50,510",16.6,"5,871",1.9,"10,179",3.3,"31,106",10.2,"304,466",100
