year,field_of_study,employed_count,employed_pct,further_study_count,further_study_pct,upgrading_skills_count,upgrading_skills_pct,waiting_placement_count,waiting_placement_pct,unemployed_count,unemployed_pct,total_graduates,total_pct,field_of_study_en
2023,Program dan Kelayakan Generik Generic Programmes and Qualifications,55,80.9,3,4.4,3,4.4,3,4.4,4,5.9,68,100,Program dan Kelayakan Generik Generic Programmes and Qualifications
2023,Pendidikan Education,15097,70.9,1523,7.2,341,1.6,1410,6.6,2913,13.7,21284,100,Pendidikan Education
2023,Sastera dan Kemanusiaan Arts & Humanities,17127,63.5,5383,20.0,424,1.6,521,1.9,3516,13.0,26971,100,Sastera dan Kemanusiaan Arts & Humanities
2023,"Sains sosial, Kewartawanan dan Maklumat Social Sciences, Journalism and Information",9504,69.2,1725,12.6,353,2.6,435,3.2,1727,12.6,13744,100,"Sains sosial, Kewartawanan dan Maklumat Social Sciences, Journalism and Information"
2023,"Perniagaan, Pentadbiran dan Perundangan Business, Administration and Law",58628,68.7,14061,16.5,1215,1.4,1972,2.3,9424,11.0,85300,100,"Perniagaan, Pentadbiran dan Perundangan Business, Administration and Law"
2023,"Sains semulajadi, Matematik dan Statistik Natural Sciences, Mathematics & Statistics",8050,59.3,3225,23.8,607,4.5,447,3.3,1236,9.1,13565,100,"Sains semulajadi, Matematik dan Statistik Natural Sciences, Mathematics & Statistics"
2023,Teknologi Maklumat dan Komunikasi Information and Communication Technologies,14467,64.7,5164,23.1,443,2.0,434,1.9,1866,8.3,22374,100,Teknologi Maklumat dan Komunikasi Information and Communication Technologies
2023,"Kejuruteraan, Pembuatan dan Pembinaan Engineering, Manufacturing & Construction",55631,70.6,14164,18.0,1888,2.4,1997,2.5,5138,6.5,78818,100,"Kejuruteraan, Pembuatan dan Pembinaan Engineering, Manufacturing & Construction"
2023,"Pertanian, Perhutanan, Perikanan dan Veterinar Agriculture, Forestry, Fisheries & Veterinary",2749,57.0,1066,22.1,253,5.2,170,3.5,588,12.2,4826,100,"Pertanian, Perhutanan, Perikanan dan Veterinar Agriculture, Forestry, Fisheries & Veterinary"
2023,Kesihatan dan Kebajikan Health & Welfare,11740,67.2,1187,6.8,166,0.9,2301,13.2,2088,11.9,17482,100,Kesihatan dan Kebajikan Health & Welfare
2023,Perkhidmatan Services,13752,68.6,3009,15.0,178,0.9,489,2.4,2606,13.0,20034,100,Perkhidmatan Services
