year,Bidang Pengajian Field of Studies,Kadar Bekerja Graduan / Graduates Employment,,,,Jumlah Total,
2024,,Bekerja Employed,,Belum Bekerja Not Working Yet,,,
2024,,Bil. No.,%,Bil. No.,%,Bil. No.,%
2024,"Kejuruteraan, Pembuatan dan Pembinaan Engineering, Manufacturing & Construction","59,300",94.9,"3,203",5.1,"62,503",100.0
2024,Kesihatan dan Kebajikan Health & Welfare,"12,095",92.6,972,7.4,"13,067",100.0
2024,Pendidikan Education,"17,961",89.8,"2,042",10.2,"20,003",100.0
2024,Perkhidmatan Services,"12,652",89.9,"1,428",10.1,"14,080",100.0
2024,"Perniagaan, Pentadbiran dan Perundangan Business, Administration and Law","56,633",92.2,"4,809",7.8,"61,442",100.0
2024,"Pertanian, Perhutanan, Perikanan dan Veterinar Agriculture, Forestry, Fisheries & Veterinary","3,012",90.0,336,10.0,"3,348",100.0
2024,Program dan Kelayakan Generik Generic Programmes and Qualifications,39,90.7,4,9.3,43,100.0
2024,"Sains semulajadi, Matematik dan Statistik Natural Sciences, Mathematics & Statistics","9,299",92.5,759,7.5,"10,058",100.0
2024,"Sains sosial, Kewartawanan dan Maklumat Social Sciences, Journalism and Information","11,146",90.8,"1,134",9.2,"12,280",100.0
2024,Sastera dan Kemanusiaan Arts & Humanities,"17,263",90.8,"1,756",9.2,"19,019",100.0
2024,Teknologi maklumat dan komunikasi Information and Communication Technologies,"14,998",93.7,"1,000",6.3,"15,998",100.0
2024,Jumlah Total,"214,398",92.5,"17,443",7.5,"231,841",100.0
