year,field_of_study,employed_count,employed_pct,unemployed_count,unemployed_pct,total_graduates,total_pct,field_of_study_en
2024,"Kejuruteraan, Pembuatan dan Pembinaan Engineering, Manufacturing & Construction",59300,94.9,3203,5.1,62503,100.0,"Kejuruteraan, Pembuatan dan Pembinaan Engineering, Manufacturing & Construction"
2024,Kesihatan dan Kebajikan Health & Welfare,12095,92.6,972,7.4,13067,100.0,Kesihatan dan Kebajikan Health & Welfare
2024,Pendidikan Education,17961,89.8,2042,10.2,20003,100.0,Pendidikan Education
2024,Perkhidmatan Services,12652,89.9,1428,10.1,14080,100.0,Perkhidmatan Services
2024,"Perniagaan, Pentadbiran dan Perundangan Business, Administration and Law",56633,92.2,4809,7.8,61442,100.0,"Perniagaan, Pentadbiran dan Perundangan Business, Administration and Law"
2024,"Pertanian, Perhutanan, Perikanan dan Veterinar Agriculture, Forestry, Fisheries & Veterinary",3012,90.0,336,10.0,3348,100.0,"Pertanian, Perhutanan, Perikanan dan Veterinar Agriculture, Forestry, Fisheries & Veterinary"
2024,Program dan Kelayakan Generik Generic Programmes and Qualifications,39,90.7,4,9.3,43,100.0,Program dan Kelayakan Generik Generic Programmes and Qualifications
2024,"Sains semulajadi, Matematik dan Statistik Natural Sciences, Mathematics & Statistics",9299,92.5,759,7.5,10058,100.0,"Sains semulajadi, Matematik dan Statistik Natural Sciences, Mathematics & Statistics"
2024,"Sains sosial, Kewartawanan dan Maklumat Social Sciences, Journalism and Information",11146,90.8,1134,9.2,12280,100.0,"Sains sosial, Kewartawanan dan Maklumat Social Sciences, Journalism and Information"
2024,Sastera dan Kemanusiaan Arts & Humanities,17263,90.8,1756,9.2,19019,100.0,Sastera dan Kemanusiaan Arts & Humanities
2024,Teknologi maklumat dan komunikasi Information and Communication Technologies,14998,93.7,1000,6.3,15998,100.0,Teknologi maklumat dan komunikasi Information and Communication Technologies
