year,Negeri Bermastautin Residential States,Status Pekerjaan / Employment Status,,,,,,,,,,Jumlah Total,
2023,,Bekerja Employed,,Melanjutkan Pengajian Further Study,,Meningkatkan Kemahiran Upgrading Skills,,Menunggu Penempatan Pekerjaan Waiting for Work Placement,,Belum Bekerja Not Working Yet,,,
2023,,Bil No.,%,Bil No.,%,Bil No.,%,Bil No.,%,Bil No.,%,Bil No.,%
2023,Johor,"23,110",70.2,"4,930",15.0,674,2.0,"1,093",3.3,"3,100",9.4,"32,907",100
2023,Kedah,"14,649",66.7,"3,775",17.2,507,2.3,776,3.5,"2,270",10.3,"21,977",100
2023,Kelantan,"10,083",61.8,"3,043",18.6,376,2.3,691,4.2,"2,125",13.0,"16,318",100
2023,Melaka,"6,739",67.8,"1,697",17.1,161,1.6,340,3.4,"1,003",10.1,"9,940",100
2023,Negeri Sembilan,"8,873",66.3,"2,505",18.7,235,1.8,411,3.1,"1,356",10.1,"13,380",100
2023,Pahang,"9,073",66.5,"2,240",16.4,284,2.1,498,3.6,"1,554",11.4,"13,649",100
2023,Pulau Pinang,"13,041",71.3,"2,873",15.7,346,1.9,550,3.0,"1,482",8.1,"18,292",100
2023,Perak,"14,743",66.8,"3,526",16.0,488,2.2,863,3.9,"2,463",11.2,"22,083",100
2023,Perlis,"1,720",61.8,617,22.2,68,2.4,93,3.3,284,10.2,"2,782",100
2023,Selangor,"52,260",68.8,"13,817",18.2,"1,149",1.5,"1,854",2.4,"6,864",9.0,"75,944",100
2023,Terengganu,"8,344",63.6,"2,430",18.5,312,2.4,425,3.2,"1,607",12.3,"13,118",100
2023,Sabah,"11,651",66.2,"2,115",12.0,422,2.4,990,5.6,"2,423",13.8,"17,601",100
2023,Sarawak,"12,252",66.4,"2,749",14.9,441,2.4,804,4.4,"2,214",12.0,"18,460",100
2023,Wilayah Persekutuan Kuala Lumpur,"17,974",71.8,"3,802",15.2,368,1.5,714,2.9,"2,174",8.7,"25,032",100
2023,Wilayah Persekutuan Labuan,475,73.0,70,10.8,15,2.3,29,4.5,62,9.5,651,100
2023,Wilayah Persekutuan Putrajaya,"1,476",76.9,275,14.3,20,1.0,39,2.0,109,5.7,"1,919",100
2023,Luar Negara,248,80.8,35,11.4,4,1.3,7,2.3,13,4.2,307,100
2023,Jumlah Total,"206,711",67.9,"50,499",16.6,"5,870",1.9,"10,177",3.3,"31,103",10.2,"304,360",100
