year,state,employed_count,employed_pct,unemployed_count,unemployed_pct,total_graduates,total_pct
2024,Johor,23904,93.9,1550,6.1,25454,100.0
2024,Kedah,14546,91.2,1401,8.8,15947,100.0
2024,Kelantan,11081,89.1,1351,10.9,12432,100.0
2024,Melaka,6594,93.3,471,6.7,7065,100.0
2024,Negeri Sembilan,8829,93.0,662,7.0,9491,100.0
2024,Pahang,9592,92.1,818,7.9,10410,100.0
2024,Pulau Pinang,12541,93.5,870,6.5,13411,100.0
2024,Perak,15158,91.7,1365,8.3,16523,100.0
2024,Perlis,1704,90.5,178,9.5,1882,100.0
2024,Selangor,54912,94.0,3535,6.0,58447,100.0
2024,Terengganu,9295,90.2,1011,9.8,10306,100.0
2024,Sabah,11885,89.0,1466,11.0,13351,100.0
2024,Sarawak,13340,90.2,1446,9.8,14786,100.0
2024,WP,18628,93.9,1202,6.1,19830,100.0
2024,WP,616,94.0,39,6.0,655,100.0
2024,WP,1448,95.3,72,4.7,1520,100.0
