year,Jenis IPT Types of HEIs,Taraf pekerjaan / Employment Level,,,,,,,,Jumlah Total,
2023,,Pekerja Kerajaan Government Staff,,Pekerja Swasta (termasuk NGO) Private Staff (including NGO),,Bekerja dengan Keluarga Working with Family,,Usahawan Entrepreneur,,,
2023,,Bil No.,%,Bil No.,%,Bil No.,%,Bil No.,%,Bil No.,%
2023,Universiti Awam Public Universities,"18,105",19.7,"61,705",67.1,"4,371",4.8,"7,832",8.5,"92,013",100
2023,Institusi Pendidikan Tinggi Swasta Private HEIs,"7,431",11.7,"47,260",74.2,"2,461",3.9,"6,566",10.3,"63,718",100
2023,Politeknik Polytechnics,"1,533",7.0,"16,629",76.4,"1,458",6.7,"2,137",9.8,"21,757",100
2023,Kolej Komuniti Community Colleges,173,4.1,3192,75.5,356,8.4,509,12.0,"4,230",100
2023,Kolej Vokasional Vocational Colleges,231,5.0,"3,483",76.1,294,6.4,571,12.5,"4,579",100
2023,"Institusi Latihan Kemahiran Awam, Kementerian Sumber Manusia (KESUMA) Public Skills Training Institutions, Ministry of Human Resources",283,6.0,3675,78.1,163,3.5,583,12.4,"4,704",100
2023,"Institut Latihan Kemahiran Belia dan Sukan, Kementerian Belia dan Sukan (KBS) Public Skills Training Institutions, Ministry of Youth and Sports",222,7.8,2061,72.4,131,4.6,434,15.2,"2,848",100
2023,"Institusi Latihan Kemahiran Awam Pertanian, Kementerian Pertanian dan Keterjaminan Makanan (KPKM) Public Skills Training Institutions, Ministry of Agriculture and Food Security",41,9.2,247,55.6,62,14.0,94,21.2,444,100
2023,"Institusi Latihan Kemahiran Awam, Kementerian Pelancongan Seni dan Budaya Malaysia (MOTAC) Public Skills Training Institutions, Ministry of Tourism, Arts and Culture",5,20.0,16,64.0,2,8.0,2,8.0,25,100
2023,"Institusi Latihan Kemahiran Awam, Kementerian Kemajuan Desa dan Wilayah (KKDW) Public Skills Training Institutions, Ministry of Rural and Regional Development",457,4.0,"5,800",50.2,"1,468",12.7,"3,819",33.1,"11,544",100
2023,"Institusi Latihan Kemahiran Awam, Kementerian Kerja Raya (KKR) Public Skills Training Institutions, Ministry of Works",1,1.1,70,76.9,7,7.7,13,14.3,91,100
2023,IPT Lain Other HEIs,54,6.4,621,73.3,43,5.1,129,15.2,847,100
2023,Jumlah Total,"28,536",13.8,"144,759",70.0,"10,816",5.2,"22,689",11.0,"206,800",100
