year,Jenis IPT Types of HEIs,Taraf pekerjaan / Employment Level,,,,,,,,,,Jumlah Total,
2024,,Bekerja sendiri Work alone (e+p-hailing),,Bekerja dengan Keluarga Working with Family,,Pekerja Kerajaan Government Staff,,Pekerja Swasta (termasuk NGO) Private Staff (including NGO),,Usahawan Entrepreneur,,,
2024,,Bil No.,%,Bil No.,%,Bil No.,%,Bil No.,%,Bil No.,%,Bil No.,%
2024,Universiti Awam Public Universities,389,0.4,"5,758",5.8,"17,682",17.8,"66,550",66.9,"9,124",9.2,"99,503",100.0
2024,Institusi Pendidikan Tinggi Swasta Private HEIs,114,0.2,"2,077",3.3,"7,578",12.0,"47,110",74.9,"6,040",9.6,"62,919",100.0
2024,Politeknik Polytechnics,59,0.4,"1,200",7.4,"1,116",6.9,"12,551",77.2,"1,324",8.1,"16,250",100.0
2024,Kolej Komuniti Community Colleges,20,0.4,370,8.1,216,4.7,"3,461",75.5,517,11.3,"4,584",100.0
2024,"ILKA, Kementerian Sumber Manusia (KESUMA) PSTI, Ministry of Human Resources",10,0.2,200,3.7,306,5.6,"4,259",78.4,658,12.1,"5,433",100.0
2024,"ILKBS, Kementerian Belia dan Sukan (KBS) YSSTI, Ministry of Youth and Sports",9,0.3,112,3.8,197,6.6,"2,326",78.4,323,10.9,"2,967",100.0
2024,"ILKAP, Kementerian Pertanian dan Keterjaminan Makanan (KPKM) APSTI, Ministry of Agriculture and Food Security",0,0.0,56,15.5,28,7.7,214,59.1,64,17.7,362,100.0
2024,"ILKA, Kementerian Pelancongan Seni dan Budaya Malaysia (MOTAC) PSTI, Ministry of Tourism, Arts and Culture",0,0.0,4,9.5,4,9.5,29,69.0,5,11.9,42,100.0
2024,Kolej Vokasional Vocational Colleges,47,0.7,465,6.6,366,5.2,"5,235",74.1,953,13.5,"7,066",100.0
2024,"ILKA, Kementerian Kemajuan Desa dan Wilayah (KKDW) PSTI, Ministry of Rural and Regional Development",93,0.7,"1,704",12.1,702,5.0,"7,430",52.8,"4,152",29.5,"14,081",100.0
2024,"ILKA, Kementerian Kerja Raya (KKR) PSTI, Ministry of Works",0,0.0,37,5.6,9,1.4,499,76.0,112,17.0,657,100.0
2024,IPT Lain Others HEIs,1,0.2,23,4.3,78,14.6,304,56.9,128,24.0,534,100.0
2024,Jumlah Total,742,0.3,"12,006",5.6,"28,282",13.2,"149,968",69.9,"23,400",10.9,"214,398",100.0
