state,year,mywi_overall,ranking,source
Sarawak,2022,119.5,1,opendosm_dashboard
Sabah,2022,119.2,2,opendosm_dashboard
Pulau Pinang,2022,119.0,3,opendosm_dashboard
Perak,2022,118.5,4,opendosm_dashboard
Terengganu,2022,117.4,5,opendosm_dashboard
Pahang,2022,117.3,6,opendosm_dashboard
Selangor,2022,117.2,7,opendosm_dashboard
Kedah,2022,117.1,8,opendosm_dashboard
Negeri Sembilan,2022,116.9,9,opendosm_dashboard
Kelantan,2022,116.2,10,opendosm_dashboard
Melaka,2022,115.9,11,opendosm_dashboard
Johor,2022,115.8,12,opendosm_dashboard
Perlis,2022,115.2,13,opendosm_dashboard
W.P. Kuala Lumpur,2022,114.6,14,opendosm_dashboard
W.P. Labuan,2022,114.6,15,opendosm_dashboard
W.P. Putrajaya,2022,114.6,16,opendosm_dashboard
