state,year,component,index_value
Johor,2010,Air,100.0
Johor,2011,Air,92.5
Johor,2012,Air,87.6
Johor,2013,Air,107.5
Johor,2014,Air,102.5
Johor,2015,Air,77.6
Johor,2016,Air,107.5
Johor,2017,Air,100.0
Johor,2018,Air,29.1
Johor,2019,Air,83.6
Johor,2020,Air,111.8
Johor,2021,Air,102.3
Johor,2022,Air,105.7
Johor,2023,Air,94.4
Johor,2024,Air,95.6
Johor,2010,Biodiversity Resources,100.0
Johor,2011,Biodiversity Resources,105.3
Johor,2012,Biodiversity Resources,96.7
Johor,2013,Biodiversity Resources,108.8
Johor,2014,Biodiversity Resources,98.8
Johor,2015,Biodiversity Resources,96.1
Johor,2016,Biodiversity Resources,104.2
Johor,2017,Biodiversity Resources,105.4
Johor,2018,Biodiversity Resources,98.2
Johor,2019,Biodiversity Resources,104.8
Johor,2020,Biodiversity Resources,102.1
Johor,2021,Biodiversity Resources,102.8
Johor,2022,Biodiversity Resources,102.7
Johor,2023,Biodiversity Resources,102.7
Johor,2024,Biodiversity Resources,102.5
Johor,2010,Communication,100.0
Johor,2011,Communication,104.2
Johor,2012,Communication,109.0
Johor,2013,Communication,106.4
Johor,2014,Communication,117.9
Johor,2015,Communication,121.2
Johor,2016,Communication,122.9
Johor,2017,Communication,124.3
Johor,2018,Communication,124.0
Johor,2019,Communication,125.2
Johor,2020,Communication,121.6
Johor,2021,Communication,122.8
Johor,2022,Communication,123.5
Johor,2023,Communication,124.3
Johor,2024,Communication,124.5
Johor,2010,Culture,100.0
Johor,2011,Culture,99.9
Johor,2012,Culture,97.3
Johor,2013,Culture,94.4
Johor,2014,Culture,102.5
Johor,2015,Culture,104.5
Johor,2016,Culture,115.7
Johor,2017,Culture,122.0
Johor,2018,Culture,116.8
Johor,2019,Culture,119.0
Johor,2020,Culture,108.6
Johor,2021,Culture,106.6
Johor,2022,Culture,107.4
Johor,2023,Culture,119.7
Johor,2024,Culture,114.6
Johor,2010,Economic,100.0
Johor,2011,Economic,105.4
Johor,2012,Economic,109.6
Johor,2013,Economic,112.5
Johor,2014,Economic,118.7
Johor,2015,Economic,119.5
Johor,2016,Economic,118.5
Johor,2017,Economic,120.8
Johor,2018,Economic,123.0
Johor,2019,Economic,124.6
Johor,2020,Economic,122.5
Johor,2021,Economic,123.0
Johor,2022,Economic,124.9
Johor,2023,Economic,127.3
Johor,2024,Economic,130.4
Johor,2010,Education,100.0
Johor,2011,Education,106.5
Johor,2012,Education,108.5
Johor,2013,Education,111.7
Johor,2014,Education,114.7
Johor,2015,Education,114.0
Johor,2016,Education,116.3
Johor,2017,Education,121.8
Johor,2018,Education,123.2
Johor,2019,Education,123.8
Johor,2020,Education,125.4
Johor,2021,Education,126.3
Johor,2022,Education,125.4
Johor,2023,Education,128.2
Johor,2024,Education,131.9
Johor,2010,Entertainment and Recreation,100.0
Johor,2011,Entertainment and Recreation,102.1
Johor,2012,Entertainment and Recreation,104.5
Johor,2013,Entertainment and Recreation,108.4
Johor,2014,Entertainment and Recreation,110.9
Johor,2015,Entertainment and Recreation,111.6
Johor,2016,Entertainment and Recreation,112.7
Johor,2017,Entertainment and Recreation,116.8
Johor,2018,Entertainment and Recreation,119.0
Johor,2019,Entertainment and Recreation,119.2
Johor,2020,Entertainment and Recreation,105.3
Johor,2021,Entertainment and Recreation,100.1
Johor,2022,Entertainment and Recreation,113.9
Johor,2023,Entertainment and Recreation,121.1
Johor,2024,Entertainment and Recreation,121.7
Johor,2010,Environmental,100.0
Johor,2011,Environmental,99.3
Johor,2012,Environmental,94.7
Johor,2013,Environmental,105.4
Johor,2014,Environmental,100.4
Johor,2015,Environmental,91.2
Johor,2016,Environmental,103.9
Johor,2017,Environmental,101.8
Johor,2018,Environmental,75.8
Johor,2019,Environmental,96.1
Johor,2020,Environmental,104.8
Johor,2021,Environmental,101.9
Johor,2022,Environmental,103.0
Johor,2023,Environmental,99.3
Johor,2024,Environmental,99.6
Johor,2010,Family,100.0
Johor,2011,Family,103.0
Johor,2012,Family,96.4
Johor,2013,Family,94.8
Johor,2014,Family,95.8
Johor,2015,Family,96.4
Johor,2016,Family,100.9
Johor,2017,Family,101.2
Johor,2018,Family,99.9
Johor,2019,Family,103.3
Johor,2020,Family,101.3
Johor,2021,Family,105.4
Johor,2022,Family,103.6
Johor,2023,Family,107.4
Johor,2024,Family,101.7
Johor,2010,Governance,100.0
Johor,2011,Governance,98.8
Johor,2012,Governance,102.6
Johor,2013,Governance,102.7
Johor,2014,Governance,116.2
Johor,2015,Governance,102.1
Johor,2016,Governance,92.6
Johor,2017,Governance,105.5
Johor,2018,Governance,102.6
Johor,2019,Governance,105.0
Johor,2020,Governance,101.5
Johor,2021,Governance,98.8
Johor,2022,Governance,96.6
Johor,2023,Governance,107.5
Johor,2024,Governance,109.1
Johor,2010,Health,100.0
Johor,2011,Health,102.7
Johor,2012,Health,107.9
Johor,2013,Health,109.0
Johor,2014,Health,106.2
Johor,2015,Health,106.0
Johor,2016,Health,105.7
Johor,2017,Health,106.1
Johor,2018,Health,101.0
Johor,2019,Health,108.2
Johor,2020,Health,110.2
Johor,2021,Health,110.3
Johor,2022,Health,106.0
Johor,2023,Health,111.8
Johor,2024,Health,112.4
Johor,2010,Housing,100.0
Johor,2011,Housing,109.9
Johor,2012,Housing,119.9
Johor,2013,Housing,119.0
Johor,2014,Housing,118.2
Johor,2015,Housing,122.0
Johor,2016,Housing,127.9
Johor,2017,Housing,135.4
Johor,2018,Housing,143.0
Johor,2019,Housing,145.2
Johor,2020,Housing,146.1
Johor,2021,Housing,141.7
Johor,2022,Housing,137.7
Johor,2023,Housing,136.6
Johor,2024,Housing,136.2
Johor,2010,Income and Distribution,100.0
Johor,2011,Income and Distribution,103.0
Johor,2012,Income and Distribution,105.4
Johor,2013,Income and Distribution,115.1
Johor,2014,Income and Distribution,125.3
Johor,2015,Income and Distribution,124.0
Johor,2016,Income and Distribution,115.7
Johor,2017,Income and Distribution,118.8
Johor,2018,Income and Distribution,121.3
Johor,2019,Income and Distribution,123.8
Johor,2020,Income and Distribution,115.4
Johor,2021,Income and Distribution,118.2
Johor,2022,Income and Distribution,125.2
Johor,2023,Income and Distribution,125.2
Johor,2024,Income and Distribution,137.8
Johor,2010,MyWI Overall,100.0
Johor,2011,MyWI Overall,103.2
Johor,2012,MyWI Overall,104.5
Johor,2013,MyWI Overall,107.5
Johor,2014,MyWI Overall,110.1
Johor,2015,MyWI Overall,108.1
Johor,2016,MyWI Overall,111.2
Johor,2017,MyWI Overall,114.5
Johor,2018,MyWI Overall,109.6
Johor,2019,MyWI Overall,115.4
Johor,2020,MyWI Overall,116.1
Johor,2021,MyWI Overall,115.4
Johor,2022,MyWI Overall,115.4
Johor,2023,MyWI Overall,117.8
Johor,2024,MyWI Overall,118.4
Johor,2010,Public Safety,100.0
Johor,2011,Public Safety,97.0
Johor,2012,Public Safety,99.9
Johor,2013,Public Safety,100.6
Johor,2014,Public Safety,106.1
Johor,2015,Public Safety,106.6
Johor,2016,Public Safety,106.4
Johor,2017,Public Safety,113.6
Johor,2018,Public Safety,110.7
Johor,2019,Public Safety,111.1
