state,year,MyWI Overall,Economic,Social,Environmental,Transportation,Communication,Income and Distribution,Working Life,Education,Housing,Entertainment and Recreation,Public Safety,Social Participation,Governance,Culture,Health,Family,Air,Water,Biodiversity Resources
Johor,2010,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Johor,2011,103.2,105.4,103.6,99.3,102.9,104.2,103.0,111.3,106.5,109.9,102.1,97.0,112.6,98.8,99.9,102.7,103.0,92.5,100.0,105.3
Johor,2012,104.5,109.6,105.4,94.7,113.0,109.0,105.4,111.2,108.5,119.9,104.5,99.9,111.8,102.6,97.3,107.9,96.4,87.6,100.0,96.7
Johor,2013,107.5,112.5,106.0,105.4,114.6,106.4,115.1,113.8,111.7,119.0,108.4,100.6,113.6,102.7,94.4,109.0,94.8,107.5,100.0,108.8
Johor,2014,110.1,118.7,109.5,100.4,115.0,117.9,125.3,116.5,114.7,118.2,110.9,106.1,115.1,116.2,102.5,106.2,95.8,102.5,100.0,98.8
Johor,2015,108.1,119.5,108.7,91.2,115.6,121.2,124.0,117.2,114.0,122.0,111.6,106.6,115.3,102.1,104.5,106.0,96.4,77.6,100.0,96.1
Johor,2016,111.2,118.5,110.4,103.9,121.5,122.9,115.7,113.8,116.3,127.9,112.7,106.4,115.8,92.6,115.7,105.7,100.9,107.5,100.0,104.2
Johor,2017,114.5,120.8,115.9,101.8,124.8,124.3,118.8,115.3,121.8,135.4,116.8,113.6,121.0,105.5,122.0,106.1,101.2,100.0,100.0,105.4
Johor,2018,109.6,123.0,114.9,75.8,128.9,124.0,121.3,117.8,123.2,143.0,119.0,110.7,118.2,102.6,116.8,101.0,99.9,29.1,100.0,98.2
Johor,2019,115.4,124.6,117.8,96.1,130.5,125.2,123.8,118.8,123.8,145.2,119.2,111.1,125.0,105.0,119.0,108.2,103.3,83.6,100.0,104.8
Johor,2020,116.1,122.5,117.1,104.8,124.4,121.6,115.4,128.5,125.4,146.1,105.3,120.6,134.6,101.5,108.6,110.2,101.3,111.8,100.5,102.1
Johor,2021,115.4,123.0,116.6,101.9,123.8,122.8,118.2,127.4,126.3,141.7,100.1,127.1,132.7,98.8,106.6,110.3,105.4,102.3,100.5,102.8
Johor,2022,115.4,124.9,115.4,103.0,131.1,123.5,125.2,119.6,125.4,137.7,113.9,117.7,130.0,96.6,107.4,106.0,103.6,105.7,100.5,102.7
Johor,2023,117.8,127.3,119.7,99.3,133.5,124.3,125.2,126.3,128.2,136.6,121.1,113.6,131.0,107.5,119.7,111.8,107.4,94.4,100.7,102.7
Johor,2024,118.4,130.4,119.4,99.6,132.7,124.5,137.8,126.5,131.9,136.2,121.7,110.7,135.9,109.1,114.6,112.4,101.7,95.6,100.7,102.5
Kedah,2010,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Kedah,2011,102.1,104.0,103.0,96.9,100.7,102.5,105.5,107.4,106.3,107.0,102.5,98.8,112.1,98.1,103.0,104.0,95.2,93.5,100.0,97.1
Kedah,2012,104.5,109.8,105.2,95.2,104.4,114.5,110.3,110.1,107.6,114.0,104.9,101.3,113.8,97.5,103.9,106.2,97.5,96.1,100.0,89.6
Kedah,2013,106.9,109.4,109.1,97.2,104.7,105.7,116.1,111.2,108.2,116.8,107.4,109.7,119.7,109.4,98.9,110.0,101.7,92.9,100.7,98.1
Kedah,2014,108.1,114.9,109.2,95.5,109.1,118.4,122.1,109.8,112.9,119.7,112.2,110.6,122.5,102.2,97.8,102.3,103.0,84.5,100.7,101.3
Kedah,2015,108.5,117.0,110.4,91.4,110.7,120.1,122.1,115.2,114.1,121.1,112.5,107.1,120.5,98.1,113.3,105.2,101.4,75.4,100.7,98.3
Kedah,2016,108.5,116.4,111.7,88.5,115.2,120.7,113.5,116.2,113.3,125.9,116.3,113.1,122.3,89.4,110.8,109.6,104.6,75.4,100.7,89.6
Kedah,2017,112.9,119.4,116.0,95.2,120.5,120.6,119.8,116.9,118.0,135.7,118.8,119.3,123.8,104.7,110.9,106.5,106.0,83.5,100.7,101.3
Kedah,2018,114.5,124.3,117.0,94.3,124.9,122.0,125.5,124.7,123.9,135.1,121.1,120.7,127.5,99.4,110.4,108.0,106.6,77.1,100.7,105.1
Kedah,2019,116.2,125.7,118.2,97.5,127.0,119.9,131.7,124.1,122.3,139.2,123.5,114.9,136.8,101.7,109.4,109.8,106.2,75.9,100.7,115.9
Kedah,2020,114.5,121.7,117.1,97.3,122.2,116.5,122.7,125.6,125.6,146.2,104.8,128.4,135.1,97.9,97.9,112.3,105.4,91.8,100.7,99.4
Kedah,2021,113.3,123.1,113.6,99.2,121.0,119.8,125.8,125.9,126.0,134.9,98.7,131.8,134.0,100.9,82.2,108.8,104.8,96.5,100.7,100.4
Kedah,2022,115.1,128.3,114.2,100.4,132.5,121.7,133.0,126.1,128.9,136.9,115.1,119.0,134.1,95.5,102.0,98.3,97.7,100.5,100.7,100.1
Kedah,2023,115.1,126.4,116.3,96.2,127.8,122.0,132.9,123.0,129.4,136.2,111.6,113.9,136.3,109.7,103.8,104.5,101.3,89.0,100.3,99.3
Kedah,2024,116.9,128.6,119.3,94.1,128.5,122.7,139.4,123.7,127.7,135.7,114.9,117.8,142.8,114.3,116.8,103.0,100.7,82.7,100.3,99.3
Kelantan,2010,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Kelantan,2011,102.5,106.3,104.2,92.2,109.4,101.4,104.8,109.5,111.0,102.1,98.6,109.2,115.7,99.0,89.3,108.2,105.0,83.6,102.4,90.5
Kelantan,2012,105.4,109.3,105.2,100.6,111.4,106.0,108.5,111.3,114.0,104.1,100.9,110.3,116.4,96.0,90.9,112.6,101.4,97.3,106.0,98.5
Kelantan,2013,107.5,110.5,107.2,104.2,113.7,107.2,113.0,108.2,113.0,109.6,101.8,110.9,127.0,102.5,91.7,109.2,98.9,100.9,108.1,103.5
Kelantan,2014,110.4,114.9,109.3,107.6,115.4,120.5,118.1,105.6,116.0,115.1,109.4,118.5,128.3,103.9,94.4,103.9,94.2,109.1,110.4,103.3
Kelantan,2015,109.0,114.9,109.0,101.4,114.8,115.7,122.2,106.8,118.6,117.6,106.0,121.3,121.3,99.4,98.9,102.3,95.4,84.5,111.5,108.1
Kelantan,2016,110.2,113.5,108.7,110.2,118.9,116.6,117.5,100.9,118.7,120.7,109.1,123.1,124.1,87.5,94.2,102.8,98.3,112.8,112.5,105.2
Kelantan,2017,112.7,116.8,112.5,107.5,122.0,121.2,122.1,102.0,120.6,130.3,108.2,126.0,124.8,110.7,89.8,104.0,98.2,93.6,117.0,111.9
Kelantan,2018,112.3,117.8,112.8,103.2,120.1,122.3,125.6,103.2,123.5,129.9,110.1,126.6,127.1,99.0,97.8,102.0,99.7,95.5,118.7,95.4
Kelantan,2019,112.3,117.8,114.5,98.4,120.1,120.3,130.0,100.6,127.6,133.9,107.3,125.1,133.7,100.8,93.2,107.0,102.1,83.3,120.6,91.3
Kelantan,2020,112.1,114.2,113.1,106.5,120.5,117.3,114.2,105.0,128.3,136.6,98.9,129.1,130.5,94.7,87.7,111.8,100.2,98.8,120.6,100.0
Kelantan,2021,113.5,116.5,113.5,109.6,120.0,121.4,116.7,107.7,133.6,135.1,97.0,138.7,129.8,92.6,81.3,112.1,101.3,104.8,123.9,100.0
Kelantan,2022,116.8,121.6,115.6,113.8,128.9,121.7,130.3,105.5,132.8,132.2,108.8,126.9,131.0,103.7,96.3,108.1,100.7,116.3,125.0,100.0
Kelantan,2023,116.2,121.5,117.2,106.1,128.9,122.0,130.1,104.9,135.6,131.7,109.3,124.5,134.9,110.9,92.5,110.3,105.2,90.8,125.7,101.9
Kelantan,2024,118.2,123.0,119.8,106.9,128.8,122.6,139.2,101.4,130.6,131.7,109.1,126.5,145.2,107.7,104.8,117.3,105.6,94.4,124.5,101.9
Melaka,2010,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Melaka,2011,103.0,106.4,106.1,89.1,103.1,105.3,107.5,109.8,108.5,109.3,102.4,98.9,114.9,103.1,106.0,109.0,102.7,82.5,100.0,84.7
Melaka,2012,105.2,110.3,107.9,90.6,107.6,109.7,114.7,109.2,110.6,118.4,102.7,96.4,112.7,108.2,101.2,119.6,101.0,83.4,100.0,88.5
Melaka,2013,106.3,111.9,108.2,93.4,110.5,104.7,119.6,112.9,110.5,116.5,104.6,98.5,120.0,107.3,103.4,114.5,98.2,76.4,100.0,103.8
Melaka,2014,109.5,116.1,111.0,96.2,110.9,115.8,125.4,112.3,115.4,117.5,107.8,105.7,125.0,109.4,107.3,111.6,99.6,90.4,100.0,98.1
Melaka,2015,110.0,118.2,111.1,95.8,115.8,120.5,126.1,110.4,115.2,118.7,107.4,109.4,116.4,105.8,108.5,114.4,103.9,86.0,100.0,101.3
Melaka,2016,112.1,120.0,112.3,100.7,121.4,120.7,127.0,111.0,118.6,132.8,108.3,103.3,118.9,95.2,113.4,114.2,106.3,100.9,100.0,101.3
Melaka,2017,113.7,122.0,115.5,97.3,125.1,124.7,126.6,111.5,123.2,133.2,109.8,110.3,120.7,106.0,113.9,113.6,109.0,101.5,100.0,90.4
Melaka,2018,114.0,122.5,117.2,93.1,130.3,125.8,124.6,109.3,127.0,130.3,112.3,103.5,123.7,116.7,113.3,118.6,108.9,84.5,100.0,94.8
Melaka,2019,113.3,121.5,117.8,89.0,131.4,122.0,122.6,110.2,129.3,134.7,111.3,110.9,130.6,111.3,109.4,118.3,104.3,84.7,100.0,82.2
Melaka,2020,113.2,117.4,115.6,100.2,122.1,117.9,112.6,117.1,131.3,141.6,95.1,120.1,132.5,97.7,103.0,113.8,105.1,111.8,100.0,88.9
Melaka,2021,113.1,120.3,116.0,94.6,120.2,119.6,115.3,126.0,128.5,135.2,92.9,124.8,132.8,101.9,103.2,117.0,108.2,87.9,100.0,95.8
Melaka,2022,113.9,124.1,115.6,95.2,127.2,121.5,125.5,122.2,128.7,133.2,103.3,114.7,133.3,105.1,106.8,112.5,102.8,89.9,100.0,95.8
Melaka,2023,114.9,124.8,117.5,94.1,124.9,121.6,127.5,125.1,131.5,132.9,103.2,107.5,132.6,119.3,108.7,115.1,106.4,86.6,100.0,95.8
Melaka,2024,115.7,126.2,118.4,93.8,124.4,122.9,136.6,120.9,130.1,130.0,103.4,110.8,137.5,117.5,119.7,109.4,107.4,85.5,100.0,95.8
Negeri Sembilan,2010,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Negeri Sembilan,2011,103.0,106.2,105.5,91.1,103.2,106.5,104.3,110.8,107.4,114.3,100.2,101.4,115.3,100.9,97.9,107.2,105.1,95.2,100.5,77.4
Negeri Sembilan,2012,107.2,110.2,107.2,103.1,106.2,110.0,108.1,116.6,107.7,128.6,102.3,104.6,116.9,101.6,96.1,109.9,97.3,95.2,100.5,113.5
Negeri Sembilan,2013,107.7,111.3,106.5,106.7,109.5,105.1,113.0,117.7,109.4,127.8,103.6,100.6,112.3,102.3,98.6,109.4,94.1,100.0,100.5,119.4
Negeri Sembilan,2014,109.7,115.5,108.2,106.5,111.0,116.6,118.5,115.8,111.5,127.1,108.0,101.7,114.6,106.1,102.3,109.0,93.6,102.4,100.5,116.4
Negeri Sembilan,2015,111.5,117.5,111.4,103.6,112.4,122.7,117.9,116.9,112.7,132.6,107.2,107.0,119.4,101.6,109.3,112.3,100.5,97.6,100.5,112.7
Negeri Sembilan,2016,114.3,117.7,113.7,111.8,117.4,124.2,109.9,119.2,115.0,150.4,109.4,109.5,122.3,89.5,110.3,112.0,104.7,126.3,100.5,108.5
Negeri Sembilan,2017,115.9,118.9,117.3,107.9,119.1,125.6,113.2,117.7,120.3,144.2,111.1,116.8,123.6,103.1,114.8,115.0,106.3,115.9,100.5,107.2
Negeri Sembilan,2018,115.4,120.5,117.7,101.4,121.5,127.4,115.7,117.4,121.6,142.6,112.6,115.7,129.0,99.1,118.1,116.4,104.5,98.2,100.5,105.5
Negeri Sembilan,2019,116.1,121.4,118.3,102.7,121.5,124.4,118.6,120.9,121.2,137.0,113.2,115.6,133.5,105.9,112.8,114.6,110.6,99.2,100.5,108.3
Negeri Sembilan,2020,116.3,118.0,117.3,110.7,118.0,119.5,108.3,126.1,122.9,150.0,96.4,125.3,132.9,102.5,101.4,119.0,105.7,122.3,100.5,109.3
Negeri Sembilan,2021,115.9,121.3,116.4,107.1,117.9,123.4,113.6,130.3,127.8,134.2,91.0,127.3,133.0,114.5,100.6,118.7,99.9,112.4,100.5,108.5
Negeri Sembilan,2022,116.0,125.7,117.1,99.7,122.6,125.2,127.2,127.8,131.7,137.8,102.7,118.4,132.5,103.2,117.2,109.4,101.1,90.1,100.5,108.5
Negeri Sembilan,2023,117.9,125.1,120.1,101.7,119.9,125.5,129.8,125.2,133.6,140.2,104.7,116.5,134.0,116.0,121.3,113.7,101.2,96.1,100.5,108.5
Negeri Sembilan,2024,118.0,123.5,119.5,106.4,112.3,126.3,130.8,124.4,131.9,136.8,105.3,113.3,140.8,111.3,117.4,117.3,101.5,110.3,100.5,108.5
Pahang,2010,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Pahang,2011,103.0,106.2,104.2,95.2,103.1,106.6,104.9,110.0,109.0,110.0,101.2,96.2,115.3,100.9,99.2,103.4,102.2,96.2,100.0,89.3
Pahang,2012,105.2,109.1,105.5,98.7,99.1,114.6,108.7,114.0,115.3,119.3,103.0,93.7,115.8,104.2,94.4,103.0,101.2,102.5,100.0,93.7
Pahang,2013,106.7,109.2,106.8,103.2,100.7,108.0,111.2,116.9,114.0,121.3,102.6,99.5,115.1,105.5,97.4,102.1,103.3,116.4,100.0,93.2
Pahang,2014,108.4,113.1,109.1,99.9,101.7,121.0,114.1,115.6,118.4,123.4,108.2,102.1,116.5,107.6,102.9,101.9,100.9,105.0,100.0,94.7
Pahang,2015,109.6,116.0,111.7,94.7,102.6,121.8,120.6,118.9,120.3,123.9,109.1,107.2,122.4,116.1,103.0,103.6,99.9,88.7,100.0,95.3
Pahang,2016,111.0,115.5,112.2,101.4,104.2,122.4,116.9,118.5,124.7,124.5,110.5,109.6,123.1,102.2,106.4,104.8,104.0,122.7,100.0,81.6
Pahang,2017,111.2,116.8,114.0,95.2,106.2,122.3,121.8,116.6,129.4,133.4,111.9,115.2,126.8,107.1,93.9,103.0,105.4,97.5,100.0,88.1
Pahang,2018,112.9,120.4,115.1,96.6,108.8,123.7,125.4,123.6,131.5,130.0,114.4,114.2,128.8,115.5,93.1,105.5,102.6,95.4,100.0,94.4
Pahang,2019,112.3,120.5,114.6,94.2,111.5,125.3,129.5,115.7,133.2,130.7,115.4,111.1,137.0,104.7,93.3,108.6,97.7,86.6,100.0,96.1
Pahang,2020,113.0,119.5,114.2,100.8,112.4,120.0,118.8,126.7,135.4,131.2,100.9,123.0,135.3,105.7,80.3,109.4,106.7,117.9,100.0,84.5
Pahang,2021,112.6,122.2,112.8,99.2,113.6,123.3,121.6,130.4,137.6,128.4,91.7,125.1,129.0,104.4,80.7,111.2,106.9,104.1,100.0,93.4
Pahang,2022,114.7,126.1,113.5,102.8,123.5,124.2,132.9,123.7,139.0,127.2,106.8,115.9,131.5,101.4,92.1,104.3,103.5,117.2,100.0,91.3
Pahang,2023,116.0,126.0,117.7,97.6,125.1,124.3,132.3,122.1,140.9,126.1,112.4,117.4,133.5,109.2,105.1,104.3,110.0,101.6,100.0,91.4
Pahang,2024,117.2,127.3,117.9,101.5,124.3,125.5,133.9,125.6,137.8,125.8,113.2,113.8,139.2,113.9,104.7,103.5,109.2,102.5,112.3,89.5
Perak,2010,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Perak,2011,103.0,104.2,105.0,96.2,102.5,101.6,103.2,109.4,108.6,99.5,101.7,103.6,116.0,100.9,99.9,105.3,109.9,88.5,102.2,98.0
Perak,2012,104.6,108.4,105.7,98.7,108.9,109.6,106.0,109.2,108.4,98.3,104.1,106.6,116.4,96.6,98.1,111.8,110.9,91.1,102.2,102.8
Perak,2013,106.7,110.2,107.2,101.3,110.1,106.9,113.1,110.6,110.7,107.7,105.7,105.7,114.5,105.9,98.3,108.5,107.5,89.8,102.2,111.8
Perak,2014,108.3,115.0,110.2,92.5,113.9,119.4,120.7,106.2,113.2,117.0,106.8,115.1,114.8,108.9,101.5,104.8,109.6,75.8,102.2,99.6
Perak,2015,109.4,118.9,109.8,93.6,118.1,119.5,124.5,113.4,114.5,117.1,107.1,109.4,117.5,101.7,102.4,103.9,114.6,75.8,102.2,102.8
Perak,2016,109.6,119.3,109.4,96.3,122.1,120.6,123.3,111.1,118.1,118.6,108.9,112.0,119.9,90.5,98.2,106.7,111.1,87.2,102.2,99.5
Perak,2017,112.8,122.1,114.1,92.7,127.6,123.2,124.7,112.7,119.7,123.1,112.9,123.1,122.1,107.9,103.3,101.1,113.7,74.5,102.2,101.3
Perak,2018,111.7,123.8,113.7,85.6,129.9,124.9,125.6,114.8,121.8,127.0,115.6,117.6,126.3,103.7,99.7,100.3,111.5,77.3,102.2,77.2
Perak,2019,113.4,123.3,115.7,91.5,128.3,127.1,126.7,111.3,123.3,128.3,117.5,117.7,135.4,100.7,100.2,107.5,110.4,73.9,102.2,98.3
Perak,2020,113.7,121.0,115.9,95.1,122.6,121.3,114.6,125.5,126.6,138.6,95.6,132.0,131.4,97.5,99.6,107.0,114.4,89.3,102.2,93.9
Perak,2021,114.9,122.3,116.8,97.9,120.0,124.0,118.9,126.2,130.8,133.1,97.7,133.7,131.7,103.0,97.9,110.0,113.5,89.5,102.2,101.9
Perak,2022,117.5,125.9,118.4,98.6,127.9,123.7,130.5,121.3,132.2,135.2,116.8,122.5,132.4,102.5,100.7,103.4,120.1,91.3,102.2,102.4
Perak,2023,118.4,126.1,119.4,99.1,129.5,123.8,131.0,120.0,133.2,133.6,116.0,119.8,132.6,108.4,112.9,100.4,117.9,87.9,102.2,107.1
Perak,2024,117.6,127.9,121.4,90.0,131.8,124.4,133.9,121.6,129.7,133.7,114.9,114.4,138.3,111.2,128.4,109.7,112.0,74.3,93.4,102.2
Perlis,2010,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Perlis,2011,101.2,104.3,101.3,98.2,100.8,102.2,104.6,109.5,109.1,110.5,105.3,89.4,107.4,99.9,86.3,106.3,97.9,93.7,100.6,100.4
Perlis,2012,105.3,109.3,105.6,100.9,102.0,110.7,109.7,114.7,111.4,121.0,107.2,100.2,110.8,113.5,85.1,110.4,91.3,100.8,100.6,101.4
Perlis,2013,106.1,112.8,107.2,94.8,101.7,105.2,117.5,126.8,110.1,123.3,113.6,107.3,121.8,101.7,85.6,109.6,92.2,85.1,100.6,98.8
Perlis,2014,108.4,117.9,108.8,94.8,103.6,118.9,125.5,123.5,114.3,126.0,111.3,102.8,124.2,104.2,88.6,108.8,98.9,81.2,100.6,102.5
Perlis,2015,107.3,119.5,107.2,91.9,110.8,119.6,126.0,121.6,116.2,126.8,105.9,109.4,115.2,103.5,88.5,108.5,90.8,81.2,100.6,93.9
Perlis,2016,107.9,119.7,107.8,93.3,114.8,121.4,124.1,118.6,118.2,129.3,110.5,113.1,117.4,90.7,87.3,111.6,92.5,77.3,100.6,102.0
Perlis,2017,110.3,121.2,110.9,93.5,117.9,124.8,126.9,115.0,124.4,134.4,114.0,113.0,120.1,104.6,86.0,109.0,92.6,80.4,100.6,99.5
Perlis,2018,110.9,124.6,111.0,91.9,122.8,125.1,129.6,121.1,123.9,134.3,112.4,112.3,121.3,101.3,86.2,110.9,96.7,82.6,100.6,92.6
Perlis,2019,110.9,124.9,111.4,89.8,123.8,121.8,132.6,121.4,126.3,137.7,113.1,113.6,125.2,103.1,86.1,107.9,89.1,73.8,100.6,95.2
Perlis,2020,109.9,118.8,113.9,89.0,118.3,117.4,118.6,121.1,130.2,141.5,109.8,117.4,124.5,100.6,80.5,118.5,102.2,85.2,100.6,81.1
Perlis,2021,110.3,117.4,113.8,91.4,117.2,119.7,121.0,111.7,131.9,134.1,112.0,118.8,122.4,110.6,79.4,113.2,101.4,89.6,100.6,84.0
